name,classes,controllers,size,stars,forks,language,subscribers,open_issues,user,repo,b_RESOLUTION,b_CHM,b_CHD,b_IFN,b_CMQ,b_ccoh,b_ccop,b_SMQ,b_scoh,b_scop,b_SERVICES,b_time,o_Clustering_Method,o_CHM,o_CHD,o_IFN,o_CMQ,o_ccoh,o_ccop,o_SMQ,o_scoh,o_scop,o_SERVICES,o_time,m_Clustering_Method,m_CHM,m_CHD,m_IFN,m_CMQ,m_ccoh,m_ccop,m_SMQ,m_scoh,m_scop,m_SERVICES,m_time
huanglu20124/invoice,73,12,78906,95,55,Java,11,2,huanglu20124,invoice,0.4,0.692184715,0.550130936,1,0.278008257,0.281866282,0.003858025,0.140388365,0.249490941,0.109102576,9,,KMeans_32,0.875,0.75,1,0.716544723,0.716666667,1.22E-04,0.083574149,0.221875,0.138300851,32,65.33,34,0.448895037,0.464709573,0,-0.000466232,0,0,0.03130602,0,0,34,259.59
Lab41/Dendrite,101,17,6344,92,25,JavaScript,13,18,Lab41,Dendrite,0.3,0.564007937,0.698740867,1.2,0.493446712,0.495238095,0.001791383,0.192658872,0.294501134,0.101842262,21,,KMeans_48,0.76412037,0.771116255,1.083333333,0.783720121,0.783829365,1.09E-04,0.136332267,0.172123016,0.035790748,48,93.66,44,0.530869167,0.59989489,0,-0.001080747,0,0,0.066126332,0,0,44,359.86
pibigstar/parsevip,90,17,17399,87,28,Java,3,0,pibigstar,parsevip,0.3,0.755504723,0.426643054,1.363636364,0.216689342,0.217777778,0.001088435,0.379722222,0.382222222,0.0025,15,,KMeans_39,0.875,0.698723152,1,0.940109019,0.94017094,6.19E-05,0.150359874,0.17948718,0.029127305,39,68.76,40,0.561623891,0.65844825,0,-0.000439936,0,0,0.113116632,0,0,40,284.51
OCR4all/OCR4all,47,18,3648,86,15,JavaScript,22,13,OCR4all,OCR4all,0.3,0.810659112,0.989455176,1.272727273,0.635625,0.641666667,0.006041667,0.26333912,0.390625,0.12728588,16,,KMeans_23,0.829435362,0.960911586,1,0.682183235,0.684057971,0.001874736,0.337384717,0.408695652,0.071310935,23,77.03,13,0.501972211,0.535603851,0,-0.000796719,0,0,0.015187864,0,0,13,209.78
Vino007/javaEEScaffold,45,21,7221,84,53,JavaScript,14,2,Vino007,javaEEScaffold,0.4,0.505265568,0.246336996,1.75,0.308595041,0.318181818,0.009586777,0.20770202,0.340909091,0.133207071,11,,KMeans_21,0.716666667,0.771428571,1,0.903922902,0.904761905,0.000839002,-0.00515873,0.166666667,0.171825397,21,43.87,17,0.625631008,0.66866056,0,-0.000142848,0,0,0.113722552,0,0,17,111.97
GdeiAssistant/GdeiAssistant,455,84,18586,79,38,Java,7,0,GdeiAssistant,GdeiAssistant,0.3,0.404127643,0.785542667,1.657142857,0.368884329,0.369125561,0.000241232,0.227014157,0.232808574,0.005794417,37,,KMeans_79,0.762890443,0.911986825,1.363636364,0.570066528,0.570089072,2.25E-05,0.29254731,0.299446693,0.006899383,79,324.01,128,0.512650029,0.52991326,0,-0.000756806,0,0,0.037638641,0,0,128,3398.06
JoeyBling/bootplus,150,13,40245,58,23,JavaScript,3,0,JoeyBling,bootplus,0.3,0.544140383,0.280408163,1.285714286,0.361871655,0.362213404,0.000341749,0.177809063,0.205202822,0.027393758,18,,KMeans_53,0.681457432,0.382337662,1,0.793866162,0.793890386,2.42E-05,0.25243106,0.275022462,0.022591402,53,102.65,106,0.493898221,0.54378421,0,-0.000870815,0,0,0.083024277,0,0,106,999.94
forTribeforXuanmo/sword-forum,79,12,9186,57,29,JavaScript,1,4,forTribeforXuanmo,sword-forum,0.3,0.356502463,0.43782824,1,0.18975164,0.190476191,0.00072455,0.133762864,0.317176871,0.183414007,14,,KMeans_32,0.690476191,0.476190476,1,0.656176834,0.65625,7.32E-05,0.041498656,0.1875,0.146001344,32,57.1,35,0.526305138,0.561796063,0,-0.001932988,0,0,0.035800049,0,0,35,214.33
superman544/JavaOJSystem,192,20,6748,47,25,JavaScript,4,2,superman544,JavaOJSystem,0.3,0.361675917,0.620719719,1.133333333,0.35786862,0.358713065,0.000844444,0.20562608,0.225102564,0.019476484,25,,KMeans_79,0.377752976,0.812833345,1.125,0.747448128,0.747468354,2.02E-05,0.200165666,0.214416315,0.014250649,79,160.23,71,0.558824271,0.693384143,0,-0.000121385,0,0,0.026692347,0,0,71,832.59
iminto/baicai,84,12,23464,41,29,HTML,8,0,iminto,baicai,0.3,0.759150327,0.861111111,2,0.221187055,0.221428571,0.000241517,0.276636142,0.308333333,0.031697192,14,,KMeans_19,0.95,0.4,1,0.80688075,0.807017544,0.000136794,0.05994152,0.184210526,0.124269006,19,45.82,31,0.523829687,0.626271076,0,-0.000338229,0,0,0.078796858,0,0,31,287.7
Jannchie/biliob_backend,200,22,1111,37,11,Java,0,4,Jannchie,biliob_backend,0.4,0.547212089,0.694334874,1.066666667,0.408177715,0.409331117,0.001153403,0.181275791,0.194867933,0.013592142,18,,KMeans_73,0.690096618,0.776604555,1,0.750980948,0.750989346,8.40E-06,0.290231006,0.299695586,0.00946458,73,144.79,91,0.468033975,0.57831867,0,-0.00036936,0,0,0.07705483,0,0,91,1002.24
Lotharing/SDIMS,112,20,799,34,7,Java,0,6,Lotharing,SDIMS,0.3,0.674236874,0.931135531,1.153846154,0.619044926,0.622721396,0.003676471,0.042790463,0.195031602,0.15224114,17,,KMeans_54,1,0.70001462,1,0.84651639,0.846707819,1.91E-04,0.104713422,0.18287037,0.078156948,54,94.59,46,0.520413108,0.487276467,0,-0.001328457,0,0,0.103159904,0,0,46,427.95
kanban/kanban-app,140,12,1380,34,23,Java,9,5,kanban,kanban-app,0.3,0.396746859,0.635394678,2,0.477789539,0.479028379,0.00123884,0.203697632,0.291835017,0.088137385,18,,KMeans_54,0.638556104,0.921928924,1,0.944400494,0.944444444,4.40E-05,0.067813883,0.135802469,0.067988586,54,86.33,67,0.613900512,0.651274069,0,-0.001120397,0,0,0.026395453,0,0,67,690.12
cloudfoundry-attic/login-server,133,23,7777,32,52,Java,77,3,cloudfoundry-attic,login-server,0.3,0.554282407,0.479025468,1,0.264792899,0.269230769,0.00443787,0.205733618,0.219230769,0.013497151,13,,KMeans_42,0.822222222,0.829657477,1,0.968186521,0.968253968,6.74E-05,0.087591947,0.119047619,0.031455672,42,68.4,62,0.613960926,0.674893605,0,-0.000139769,0,0,0.046495845,0,0,62,550.56
tangdu/smh2,111,25,92244,27,22,JavaScript,7,0,tangdu,smh2,0.3,0.613030303,0.828731189,1.1,0.339659473,0.340972222,0.001312749,0.275977147,0.302380952,0.026403806,24,,KMeans_53,0.692652361,0.879337232,1.222222222,0.876672684,0.87672956,5.69E-05,0.215303983,0.244968554,0.02966457,53,112.3,55,0.517961719,0.56261511,0,-0.001325208,0,0,0.07281105,0,0,55,410.43
qiao-zhi/jwxt,595,76,25888,26,8,Java,7,2,qiao-zhi,jwxt,0.3,0.487775421,0.719594495,1.818181818,0.263227112,0.26363919,0.000412078,0.153791467,0.154433689,0.000642222,60,,KMeans_77,0.518783812,0.745183412,2.48,0.326792315,0.327009451,0.000217135,0.250898995,0.251031215,0.00013222,77,698.79,277,0.5475275,0.533214156,0,-0.000165666,0,0,0.016280921,0,0,277,6935.82
shuxianfeng/movision,886,80,33626,21,20,Java,2,0,shuxianfeng,movision,0.4,0.859285089,0.447022296,2.615384615,0.318034009,0.318132421,9.84E-05,0.190309127,0.193800114,0.003490986,47,,KMeans_77,0.967040095,0.647155329,10.14285714,0.521643807,0.521676512,3.27E-05,0.329444253,0.330806065,0.001361812,77,637.99,227,0.44920999,0.484573263,0,-0.000110171,0,0,0.045377773,0,0,227,19188.39
leluque/university-site-cms,254,23,35036,21,13,JavaScript,8,9,leluque,university-site-cms,0.3,0.417236616,0.464200637,1.636363636,0.394289831,0.395998576,0.001708744,0.14795374,0.157889739,0.009935999,18,,KMeans_76,0.639036427,0.818150407,1.111111111,0.791844128,0.791875522,3.14E-05,0.189888773,0.203931704,0.014042931,76,160.79,91,0.512278307,0.627827172,0,-0.000551396,0,0,0.091377854,0,0,91,926.57
ghostxbh/uzy-ssm-mall,89,19,10103,19,11,Java,1,0,ghostxbh,uzy-ssm-mall,0.3,0.591427404,0.606736504,1.357142857,0.549729531,0.553514133,0.003784602,0.076996269,0.233810797,0.156814528,17,,KMeans_42,0.824093567,0.808739315,1.2,0.785528132,0.785714286,1.86E-04,0.256855723,0.317460318,0.060604594,42,96.28,27,0.479694398,0.635103176,0,-0.000604117,0,0,0.011501037,0,0,27,296.26
kai8406/cmop,237,34,17904,17,13,Java,8,1,kai8406,cmop,0.4,0.546319851,0.339624307,1.684210526,0.330673014,0.332563373,0.001890359,0.164851659,0.210014261,0.045162602,23,,KMeans_75,0.760645098,0.815462423,1.259259259,0.741447458,0.741481482,3.40E-05,0.19098309,0.225306397,0.034323307,75,177.82,89,0.452259611,0.612215027,0,-0.000511238,0,0,0.028843163,0,0,89,1510.24
mozammel/mNet,148,21,2666,15,14,JavaScript,13,3,mozammel,mNet,0.3,0.572107305,0.454911547,1,0.4256025,0.426370851,0.000768351,0.249105425,0.267857143,0.018751718,22,,KMeans_64,0.662263508,0.764405193,1,0.898405022,0.8984375,3.25E-05,0.208901703,0.233072917,0.024171214,64,107.58,68,0.401661644,0.586967534,0,-0.000639143,0,0,0.012218254,0,0,68,533.86
easy-ware/api-manager,181,90,21297,15,7,Java,4,5,easy-ware,api-manager,0.3,0.743464052,0.772612351,1.176470588,0.443016904,0.445097075,0.002080171,0.196987366,0.21787518,0.020887814,22,,KMeans_63,0.839742064,0.943055556,1,0.791925587,0.792063492,0.000137905,0.247745634,0.287301587,0.039555954,63,139.42,45,0.587274176,0.633148405,0,-0.00021931,0,0,0.184425965,0,0,45,696.35
lvr1997/ershoujiaoyi,78,11,8678,14,7,Java,0,7,lvr1997,ershoujiaoyi,0.4,0.619595794,0.586945102,1,0.721490963,0.727891157,0.006400193,0.182169894,0.290476191,0.108306297,14,,KMeans_39,0.851503759,0.831644737,1.1,0.879870183,0.88034188,0.000471697,0.199955016,0.286324786,0.086369771,39,83.88,34,0.360561658,0.495369065,0,-0.000660067,0,0,0.032238267,0,0,34,205.43
GZzzhsmart/P2Pproj,275,42,98201,13,8,JavaScript,1,4,GZzzhsmart,P2Pproj,0.3,0.371692667,0.365624389,1.285714286,0.482539109,0.482751033,0.000211924,0.167977637,0.189355314,0.021377677,37,,KMeans_78,0.512502684,0.669534422,1.15625,0.667653933,0.667685093,3.12E-05,0.395598189,0.403764291,0.008166102,78,188.98,136,0.506714344,0.539651432,0,-0.00028901,0,0,0.041803358,0,0,136,1243.43
HIIT/dime-server,91,12,97425,13,7,Java,27,23,HIIT,dime-server,0.3,0.383201283,0.711820057,1.333333333,0.271747836,0.272650613,0.000902778,0.123835816,0.150804924,0.026969108,16,,KMeans_45,0.554617331,0.859835248,1,0.699221508,0.699259259,3.78E-05,0.16581229,0.191851852,0.026039562,45,108.62,42,0.604126777,0.632548086,0,-0.003994927,0,0,0.10766844,0,0,42,249.7
doooyo/Weixin_Server,303,32,4538,13,11,Java,4,0,doooyo,Weixin_Server,0.3,0.796872033,0.87888139,1.583333333,0.342828916,0.343528916,0.0007,0.224969299,0.251030525,0.026061226,25,,KMeans_75,0.858965583,0.871853033,1.1875,0.731090723,0.731111111,2.04E-05,0.231706707,0.273333333,0.041626627,75,138.1,135,0.485446545,0.510008572,0,-0.000355673,0,0,0.051449345,0,0,135,1508.38
fishstormX/fishmaple,173,21,5532,11,1,JavaScript,2,6,fishstormX,fishmaple,0.3,0.536837299,0.547448234,1.2,0.418332764,0.418426501,9.37E-05,0.28757602,0.300362319,0.012786299,23,,KMeans_73,0.850566893,0.817888637,1,0.758894843,0.75890411,9.27E-06,0.216140813,0.253881279,0.037740466,73,116.08,73,0.490095278,0.412772916,0,-0.000643026,0,0,0.049852392,0,0,73,577.5
opendevstack/ods-provisioning-app,146,11,1516,11,15,Java,26,47,opendevstack,ods-provisioning-app,0.3,0.435591369,0.075878692,1,0.387468183,0.388220551,0.000752368,0.269438974,0.292105263,0.022666289,19,,KMeans_73,0.448958333,0.554672619,1,0.898874557,0.898891063,1.65E-05,0.110243622,0.151663405,0.041419783,73,107.77,26,0.530586844,0.543615962,0,-0.000553893,0,0,0.051787482,0,0,26,881.95
starqiu/RDMP1,60,30,24114,10,12,Java,5,0,starqiu,RDMP1,0.4,0.901992754,0.862128147,1.25,0.244784581,0.249319728,0.004535147,0.207171202,0.29744898,0.090277778,7,,KMeans_16,0.6,0.654285714,1,0.686458333,0.6875,0.001041667,0.181481482,0.28125,0.099768519,16,43.13,26,0.54697377,0.630342495,0,-0.000954735,0,0,0.025978861,0,0,26,148.9
yorkmass/Yark-AdminMS,69,12,41214,9,0,JavaScript,1,1,yorkmass,Yark-AdminMS,0.3,0.472928154,0.697316026,1.1,0.327891157,0.32952381,0.001632653,0.191360544,0.248888889,0.057528345,15,,KMeans_31,0.619642857,0.66847194,1,0.827795121,0.827956989,0.000161868,0.108422939,0.180107527,0.071684588,31,54.24,26,0.475159915,0.606803473,0,-0.001502208,0,0,0.035682443,0,0,26,163.74
768330962/poet_ready_system,57,14,1629,8,5,HTML,0,3,768330962,poet_ready_system,0.3,0.780889286,0.342582496,1,0.827778449,0.833333333,0.005554885,0.141826923,0.297619048,0.155792125,14,,KMeans_15,0.940476191,0.471851436,1,0.884353742,0.888888889,0.004535147,0.309126984,0.338888889,0.029761905,15,61.3,23,0.443906809,0.509902943,0,-0.000684552,0,0,0.035893294,0,0,23,152.27
suyeq/steamMall,120,13,6524,8,2,CSS,2,2,suyeq,steamMall,0.3,0.72151927,0.631499844,1.090909091,0.522372049,0.523452381,0.001080332,0.247096874,0.275459957,0.028363083,20,,KMeans_60,0.977941177,0.670787599,1,0.808832392,0.808888889,5.65E-05,0.175559087,0.220833333,0.045274247,60,112.29,51,0.465561158,0.604576701,0,-0.001314519,0,0,0.038775706,0,0,51,417.43
zlren/noah-health,86,12,320,8,6,Java,3,0,zlren,noah-health,0.3,0.725028058,0.945648902,1.222222222,0.408979592,0.413333333,0.004353741,-0.073770786,0.310793651,0.384564437,15,,KMeans_29,0.906073724,0.967471822,1,0.863973485,0.864367816,0.000394331,0.176939655,0.273563218,0.096623563,29,76.53,26,0.523102713,0.600952907,0,-6.99E-05,0,0,0.091009462,0,0,26,229.63
khasang/delivery,218,11,7443,6,6,Java,8,5,khasang,delivery,0.3,0.779920635,0.741486292,1,0.678359819,0.678678403,0.000318585,0.182796052,0.183499433,0.000703381,22,,KMeans_70,0.797698413,0.779264069,1,0.893823853,0.893845285,2.14E-05,0.25368185,0.257287785,0.003605935,70,136.8,92,0.631944994,0.507859274,0,-0.000407992,0,0,0.078005163,0,0,92,780.97
TexnologiaLogismikou/Fiz,199,18,1160,6,0,Java,5,3,TexnologiaLogismikou,Fiz,0.4,0.505681818,0.431349206,1.333333333,0.579931457,0.583820346,0.003888889,0.171909508,0.219832251,0.047922744,16,,KMeans_52,0.728409091,0.731845238,1,0.958863455,0.958974359,0.000110904,0.11293992,0.187179487,0.074239568,52,98.96,63,0.743828558,0.48408025,0,-0.00053884,0,0,0.030641815,0,0,63,1213
wang007/live-server,238,23,6130,6,5,JavaScript,4,0,wang007,live-server,0.3,0.51073965,0.400303445,1.357142857,0.495377585,0.496602075,0.00122449,0.169444915,0.175589358,0.006144442,21,,KMeans_79,0.706547619,0.778936216,1.1,0.753422819,0.753455897,3.31E-05,0.244559748,0.258077155,0.013517407,79,160.34,96,0.545453597,0.589942755,0,-0.000434781,0,0,0.056387904,0,0,96,917.93
zxwgdft/paladin-boot,328,17,97803,6,0,JavaScript,1,0,zxwgdft,paladin-boot,0.4,0.637159715,0.193759019,1,0.278761494,0.279005118,0.000243624,0.112838147,0.119216321,0.006378174,22,,KMeans_75,0.185863095,0.539937642,1,0.674632237,0.674643275,1.10E-05,0.346267688,0.354961571,0.008693882,75,180.57,161,0.518647291,0.564825333,0,-0.000417128,0,0,0.063883012,0,0,161,1461.26
shenshaoming/byte_easy,55,12,13225,5,4,JavaScript,1,0,shenshaoming,byte_easy,0.3,0.291720779,0.533315296,1.166666667,0.509533202,0.512820513,0.003287311,0.148985043,0.307692308,0.158707265,13,,KMeans_19,0.685714286,0.908786848,1,0.910160391,0.912280702,0.002120311,0.145224172,0.236842105,0.091617934,19,43.29,23,0.534046348,0.696278025,0,-5.22E-06,0,0,0.105097944,0,0,23,123.39
nimble-platform/business-process-service,222,47,2798,5,3,Java,5,16,nimble-platform,business-process-service,0.4,0.500632801,0.622452662,1.785714286,0.3579293,0.362165411,0.004236111,0.183014083,0.226906139,0.043892055,16,,KMeans_79,0.763049451,0.72823311,1.038461538,0.872961438,0.872995781,3.43E-05,0.086898419,0.158122363,0.071223944,79,153.88,95,0.423370503,0.537225906,0,-0.000301808,0,0,0.06030411,0,0,95,1262.75
codemky/uni,615,89,1444,5,0,Java,2,2,codemky,uni,0.4,0.297084643,0.515607524,1.652173913,0.268448313,0.269017774,0.000569461,0.140986191,0.144464508,0.003478316,58,,KMeans_76,0.689437999,0.992107904,3.863636364,0.287644583,0.287978594,0.00033401,0.215166564,0.215750063,0.0005835,76,783.16,291,0.468199202,0.507064022,0,-0.000131092,0,0,0.054702183,0,0,291,7241.14
aramsoft/aramcomp,345,72,21307,5,5,Java,1,1,aramsoft,aramcomp,0.3,0.582250539,0.921310747,1.5,0.423553561,0.424290614,0.000737053,0.273468928,0.28440276,0.010933832,43,,KMeans_79,0.675469927,0.918342059,1.120689655,0.565556566,0.565682138,0.000125572,0.327658927,0.347026321,0.019367394,79,242.18,174,0.525740561,0.503316025,0,-0.000302124,0,0,0.058713736,0,0,174,2699.12
bao17634/Warehouse-system,76,13,1787,5,1,JavaScript,1,1,bao17634,Warehouse-system,0.3,0.606619138,0.75418741,1,0.390762656,0.394871795,0.004109139,0.283114316,0.355128205,0.072013889,13,,KMeans_33,0.782275132,0.818570484,1,0.787713786,0.787878788,0.000165002,0.124684343,0.207070707,0.082386364,33,83.05,25,0.446726431,0.587995172,0,-0.000200065,0,0,0.056467983,0,0,25,205.06
shigenwang/membership,153,18,60199,5,7,Java,1,0,shigenwang,membership,0.3,0.66888505,0.778141419,1.166666667,0.259552797,0.263181606,0.003628809,0.178533897,0.185401176,0.006867279,20,,KMeans_76,0.869897959,0.921525753,1.071428571,0.545449563,0.545551378,1.02E-04,0.313685046,0.331296993,0.017611947,76,167,61,0.575748404,0.605945079,0,-0.001002758,0,0,0.033994584,0,0,61,609.41
sfx478076717/goldenarches,56,11,18294,4,0,Java,0,0,sfx478076717,goldenarches,0.3,0.542083333,0.480628464,1,0.521778827,0.526406926,0.004628099,0.197571429,0.281385281,0.083813853,11,,KMeans_23,0.846296296,0.960090703,1.111111111,0.767475407,0.768115942,0.000640535,0.299681599,0.376811594,0.077129996,23,65.96,27,0.502519646,0.604395263,0,-0.001465693,0,0,0.085312463,0,0,27,128.18
dp2-g56/Dp2-L02,245,40,1002,4,1,Java,2,0,dp2-g56,Dp2-L02,0.3,0.740530457,0.271477152,1.888888889,0.360354959,0.361722999,0.00136804,0.15899816,0.197280909,0.03828275,22,,KMeans_77,0.76320647,0.554511732,1.5,0.693101997,0.693207586,0.000105589,0.230872859,0.25197382,0.021100961,77,171.02,94,0.492918815,0.32963378,0,-0.000610738,0,0,0.023029752,0,0,94,1415.06
